,V1,V2,V3,C4,C3,C2,C1
,Class 300,Class 300,Class 300,368 Insurance,"375 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,369 Associations,"376 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,370 Education,"377 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,370 Education,"378 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,371 Schools & their activities; special education,"379 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,372 Primary education (elementary education),"380 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,373 Secondary education,"381 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,374 Adult education,"382 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,375 Curricula,"383 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,376 No longer used—formerly Education of women,"384 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,377 No longer used—formerly Ethical education,"385 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,378 Higher education (Tertiary education),"386 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,379 Public policy issues in education,"387 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,"380 Commerce, communications, & transportation","388 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,"380 Commerce, communications, transportation","389 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,381 Commerce (Trade),"390 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,382 International commerce (Foreign trade),"391 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,383 Postal communication,"392 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,384 Communications,"393 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,385 Railroad transportation,"394 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,386 Inland waterway & ferry transportation,"395 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,"387 Water, air, space transportation","396 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,388 Transportation,"397 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,389 Metrology & standardization,"398 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,"390 Customs, etiquette, & folklore","399 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,"390 Customs, etiquette, folklore","400 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,391 Costume & personal appearance,"401 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,392 Customs of life cycle & domestic life,"402 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,393 Death customs,"403 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,394 General customs,"404 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,395 Etiquette (Manners),"405 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,396 No longer used—formerly Women's position and treatment,"406 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,397 No longer used—formerly outcast studies,"407 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,398 Folklore,"408 Social sciences, sociology & anthropology",,
,Class 300,Class 300,Class 300,399 Customs of war & diplomacy,"409 Social sciences, sociology & anthropology",,
,Class 400,Class 400,Class 400,Class 400 – Language,"410 Social sciences, sociology & anthropology",,
,Class 400,Class 400,Class 400,400 Language,400 Language,,
,Class 400,Class 400,Class 400,400 Language,401 Language,,
,Class 400,Class 400,Class 400,401 Philosophy & theory; international languages,402 Language,,
,Class 400,Class 400,Class 400,402 Miscellany,403 Language,,
,Class 400,Class 400,Class 400,"403 Dictionaries, encyclopedias, concordances",404 Language,,
,Class 400,Class 400,Class 400,404 Special topics of language,405 Language,,
,Class 400,Class 400,Class 400,405 Serial publications,406 Language,,
,Class 400,Class 400,Class 400,406 Organizations & management,407 Language,,
,Class 400,Class 400,Class 400,"407 Education, research, related topics",408 Language,,
,Class 400,Class 400,Class 400,408 Groups of people,409 Language,,
,Class 400,Class 400,Class 400,409 Geographic treatment & biography,410 Language,,
,Class 400,Class 400,Class 400,410 Linguistics,411 Language,,
,Class 400,Class 400,Class 400,410 Linguistics,412 Language,,
,Class 400,Class 400,Class 400,411 Writing systems of standard forms of languages,413 Language,,
,Class 400,Class 400,Class 400,412 Etymology of standard forms of languages,414 Language,,
,Class 400,Class 400,Class 400,413 Dictionaries of standard forms of languages,415 Language,,
,Class 400,Class 400,Class 400,414 Phonology & phonetics of standard forms of languages,416 Language,,
,Class 400,Class 400,Class 400,415 Grammar of standard forms of languages,417 Language,,
,Class 400,Class 400,Class 400,416 No longer used—formerly Prosody,418 Language,,
,Class 400,Class 400,Class 400,417 Dialectology & historical linguistics,419 Language,,
,Class 400,Class 400,Class 400,418 Standard usage (Prescriptive linguistics),420 Language,,
,Class 400,Class 400,Class 400,419 Sign languages,421 Language,,
,Class 400,Class 400,Class 400,420 English & Old English languages,422 Language,,
,Class 400,Class 400,Class 400,420 English & Old English (Anglo-Saxon),423 Language,,
,Class 400,Class 400,Class 400,"421 Writing system, phonology, phonetics of standard English",424 Language,,
,Class 400,Class 400,Class 400,422 Etymology of standard English,425 Language,,
,Class 400,Class 400,Class 400,423 Dictionaries of standard English,426 Language,,
,Class 400,Class 400,Class 400,424 No longer used—formerly English thesauruses,427 Language,,
,Class 400,Class 400,Class 400,425 Grammar of standard English,428 Language,,
,Class 400,Class 400,Class 400,426 No longer used—formerly English prosodies,429 Language,,
,Class 400,Class 400,Class 400,"427 Historical & geographical variations, modern nongeographic variations of English",430 Language,,
,Class 400,Class 400,Class 400,428 Standard English usage (Prescriptive linguistics),431 Language,,
,Class 400,Class 400,Class 400,429 Old English (Anglo-Saxon),432 Language,,
,Class 400,Class 400,Class 400,430 German & related languages,433 Language,,
,Class 400,Class 400,Class 400,430 German and related languages,434 Language,,
,Class 400,Class 400,Class 400,"431 Writing systems, phonology, phonetics of standard German",435 Language,,
,Class 400,Class 400,Class 400,432 Etymology of standard German,436 Language,,
,Class 400,Class 400,Class 400,433 Dictionaries of standard German,437 Language,,
,Class 400,Class 400,Class 400,434 Not assigned or no longer used,438 Language,,
,Class 400,Class 400,Class 400,435 Grammar of standard German,439 Language,,
,Class 400,Class 400,Class 400,436 Not assigned or no longer used,440 Language,,
,Class 400,Class 400,Class 400,"437 Historical & geographic variations, modern nongeographic variations of German",441 Language,,
,Class 400,Class 400,Class 400,438 Standard German usage (Prescriptive linguistics),442 Language,,
,Class 400,Class 400,Class 400,439 Other Germanic languages,443 Language,,
,Class 400,Class 400,Class 400,440 French & related languages,444 Language,,
,Class 400,Class 400,Class 400,440 French & related Romance languages,445 Language,,
,Class 400,Class 400,Class 400,"441 Writing systems, phonology, phonetics of standard French",446 Language,,
,Class 400,Class 400,Class 400,442 Etymology of standard French,447 Language,,
,Class 400,Class 400,Class 400,443 Dictionaries of standard French,448 Language,,
,Class 400,Class 400,Class 400,444 Not assigned or no longer used,449 Language,,
,Class 400,Class 400,Class 400,445 Grammar of standard French,450 Language,,
,Class 400,Class 400,Class 400,446 Not assigned or no longer used,451 Language,,
,Class 400,Class 400,Class 400,"447 Historical and geographic variations, modern nongeographic variations of French",452 Language,,
,Class 400,Class 400,Class 400,448 Standard French usage (Prescriptive linguistics),453 Language,,
,Class 400,Class 400,Class 400,"449 Occitan Catalan, Franco-Provençal",454 Language,,
,Class 400,Class 400,Class 400,"450 Italian, Romanian, & related languages",455 Language,,
,Class 400,Class 400,Class 400,"450 Italian, Dalmatian, Romanian, Rhaetian, Sardinian, Corsican",456 Language,,
,Class 400,Class 400,Class 400,"451 Writing systems, phonology, phonetics of standard Italian",457 Language,,
,Class 400,Class 400,Class 400,452 Etymology of standard Italian,458 Language,,
,Class 400,Class 400,Class 400,453 Dictionaries of standard Italian,459 Language,,
,Class 400,Class 400,Class 400,454 Not assigned or no longer used,460 Language,,
,Class 400,Class 400,Class 400,455 Grammar of standard Italian,461 Language,,
,Class 400,Class 400,Class 400,456 Not assigned or no longer used,462 Language,,
,Class 400,Class 400,Class 400,"457 Historical & geographic variations, modern nongeographic variations of Italian",463 Language,,
,Class 400,Class 400,Class 400,458 Standard Italian usage (Prescriptive linguistics),464 Language,,
,Class 400,Class 400,Class 400,"459 Romanian, Rhaetian, Sardinian, Corsican",465 Language,,
,Class 400,Class 400,Class 400,"460 Spanish, Portuguese, Galician",466 Language,,
,Class 400,Class 400,Class 400,"460 Spanish, Portuguese, Galician",467 Language,,
,Class 400,Class 400,Class 400,"461 Writing systems, phonology, phonetics of standard Spanish",468 Language,,
,Class 400,Class 400,Class 400,462 Etymology of standard Spanish,469 Language,,
,Class 400,Class 400,Class 400,463 Dictionaries of standard Spanish,470 Language,,
,Class 400,Class 400,Class 400,464 Not assigned or no longer used,471 Language,,
,Class 400,Class 400,Class 400,465 Grammar of standard Spanish,472 Language,,
,Class 400,Class 400,Class 400,466 Not assigned or no longer used,473 Language,,
,Class 400,Class 400,Class 400,"467 Historical & geographic variations, modern nongeographic variations of Spanish",474 Language,,
,Class 400,Class 400,Class 400,468 Standard Spanish usage (Prescriptive linguistics),475 Language,,
,Class 400,Class 400,Class 400,469 Portuguese,476 Language,,
,Class 400,Class 400,Class 400,470 Latin & Italic languages,477 Language,,
,Class 400,Class 400,Class 400,470 Latin & related Italic languages,478 Language,,
,Class 400,Class 400,Class 400,"471 Writing systems, phonology, phonetics of classical Latin",479 Language,,
,Class 400,Class 400,Class 400,472 Etymology of classical Latin,480 Language,,
,Class 400,Class 400,Class 400,473 Dictionaries of classical Latin,481 Language,,
,Class 400,Class 400,Class 400,474 Not assigned or no longer used,482 Language,,
,Class 400,Class 400,Class 400,475 Grammar of classical Latin,483 Language,,
,Class 400,Class 400,Class 400,476 Not assigned or no longer used,484 Language,,
,Class 400,Class 400,Class 400,"477 Old, postclassical, Vulgar Latin",485 Language,,
,Class 400,Class 400,Class 400,478 Classical Latin usage (Prescriptive linguistics),486 Language,,
,Class 400,Class 400,Class 400,479 Other Italic languages,487 Language,,
,Class 400,Class 400,Class 400,480 Classical & modern Greek languages,488 Language,,
,Class 400,Class 400,Class 400,480 Classical Greek & related Hellenic languages,489 Language,,
,Class 400,Class 400,Class 400,"481 Writing systems, phonology, phonetics of classical Greek",490 Language,,
,Class 400,Class 400,Class 400,482 Etymology of classical Greek,491 Language,,
,Class 400,Class 400,Class 400,483 Dictionaries of classical Greek,492 Language,,
,Class 400,Class 400,Class 400,484 Not assigned or no longer used,493 Language,,
,Class 400,Class 400,Class 400,485 Grammar of classical Greek,494 Language,,
,Class 400,Class 400,Class 400,486 Not assigned or no longer used,495 Language,,
,Class 400,Class 400,Class 400,487 Preclassical & postclassical Greek,496 Language,,
,Class 400,Class 400,Class 400,488 Classical Greek usage (Prescriptive linguistics),497 Language,,
,Class 400,Class 400,Class 400,489 Other Hellenic languages,498 Language,,
,Class 400,Class 400,Class 400,490 Other languages,499 Language,,
,Class 400,Class 400,Class 400,490 Other languages,500 Language,,
,Class 400,Class 400,Class 400,491 East Indo-European & Celtic languages,501 Language,,
,Class 400,Class 400,Class 400,492 Afro-Asiatic languages,502 Language,,
,Class 400,Class 400,Class 400,493 Non-Semitic Afro-Asiatic languages,503 Language,,
,Class 400,Class 400,Class 400,"494 Altic, Uralic, Hyperborean, Dravidian languages, miscellaneous languages of south Asia",504 Language,,
,Class 400,Class 400,Class 400,495 Languages of East & Southeast Asia,505 Language,,
,Class 400,Class 400,Class 400,496 African languages,506 Language,,
,Class 400,Class 400,Class 400,497 North American native languages,507 Language,,
,Class 400,Class 400,Class 400,498 South American native languages,508 Language,,
,Class 400,Class 400,Class 400,"499 Non-Austronesian languages of Oceania, Austronesian languages, miscellaneous languages",509 Language,,
,Class 500,Class 500,Class 500,Class 500 – Science,510 Language,,
,Class 500,Class 500,Class 500,500 Science,500 Science,,
,Class 500,Class 500,Class 500,500 Natural sciences & mathematics,501 Science,,
,Class 500,Class 500,Class 500,501 Philosophy & theory,502 Science,,
,Class 500,Class 500,Class 500,502 Miscellany,503 Science,,
,Class 500,Class 500,Class 500,"503 Dictionaries, encyclopedias, concordances",504 Science,,
,Class 500,Class 500,Class 500,504 Not assigned or no longer used,505 Science,,
,Class 500,Class 500,Class 500,505 Serial publications,506 Science,,
,Class 500,Class 500,Class 500,506 Organizations & management,507 Science,,
,Class 500,Class 500,Class 500,"507 Education, research, related topics",508 Science,,
,Class 500,Class 500,Class 500,508 Natural history,509 Science,,
,Class 500,Class 500,Class 500,"509 History, geographic treatment, biography",510 Science,,
,Class 500,Class 500,Class 500,510 Mathematics,511 Science,,
,Class 500,Class 500,Class 500,510 Mathematics,512 Science,,
,Class 500,Class 500,Class 500,511 General principles of mathematics,513 Science,,
,Class 500,Class 500,Class 500,512 Algebra,514 Science,,
,Class 500,Class 500,Class 500,513 Arithmetic,515 Science,,
,Class 500,Class 500,Class 500,514 Topology,516 Science,,
,Class 500,Class 500,Class 500,515 Analysis,517 Science,,
,Class 500,Class 500,Class 500,516 Geometry,518 Science,,
,Class 500,Class 500,Class 500,517 Not assigned or no longer used,519 Science,,
,Class 500,Class 500,Class 500,518 Numerical analysis,520 Science,,
,Class 500,Class 500,Class 500,519 Probabilities & applied mathematics,521 Science,,
,Class 500,Class 500,Class 500,520 Astronomy,522 Science,,
,Class 500,Class 500,Class 500,520 Astronomy & allied sciences,523 Science,,
,Class 500,Class 500,Class 500,521 Celestial mechanics,524 Science,,
,Class 500,Class 500,Class 500,"522 Techniques, procedures, apparatus, equipment, materials",525 Science,,
,Class 500,Class 500,Class 500,523 Specific celestial bodies & phenomena,526 Science,,
,Class 500,Class 500,Class 500,524 Not assigned or no longer used,527 Science,,
,Class 500,Class 500,Class 500,525 Earth (Astronomical geography),528 Science,,
,Class 500,Class 500,Class 500,526 Mathematical geography,529 Science,,
,Class 500,Class 500,Class 500,527 Celestial navigation,530 Science,,
,Class 500,Class 500,Class 500,528 Ephemerides,531 Science,,
,Class 500,Class 500,Class 500,529 Chronology,532 Science,,
,Class 500,Class 500,Class 500,530 Physics,533 Science,,
,Class 500,Class 500,Class 500,530 Physics,534 Science,,
,Class 500,Class 500,Class 500,531 Classical mechanics,535 Science,,
,Class 500,Class 500,Class 500,532 Fluid mechanics,536 Science,,
,Class 500,Class 500,Class 500,533 Pneumatics (Gas mechanics),537 Science,,
,Class 500,Class 500,Class 500,534 Sound & related vibrations,538 Science,,
,Class 500,Class 500,Class 500,535 Light & related radiation,539 Science,,
,Class 500,Class 500,Class 500,536 Heat,540 Science,,
,Class 500,Class 500,Class 500,537 Electricity & electronics,541 Science,,
,Class 500,Class 500,Class 500,538 Magnetism,542 Science,,
,Class 500,Class 500,Class 500,539 Modern physics,543 Science,,
,Class 500,Class 500,Class 500,540 Chemistry,544 Science,,
,Class 500,Class 500,Class 500,540 Chemistry & allied sciences,545 Science,,
,Class 500,Class 500,Class 500,541 Physical chemistry,546 Science,,
,Class 500,Class 500,Class 500,"542 Techniques, procedures, apparatus, equipment, materials",547 Science,,
,Class 500,Class 500,Class 500,543 Analytical chemistry,548 Science,,
,Class 500,Class 500,Class 500,544 No longer used—formerly Qualitative analysis,549 Science,,
,Class 500,Class 500,Class 500,545 No longer used—formerly Quantitative analysis,550 Science,,
,Class 500,Class 500,Class 500,546 Inorganic chemistry,551 Science,,
,Class 500,Class 500,Class 500,547 Organic chemistry,552 Science,,
,Class 500,Class 500,Class 500,548 Crystallography,553 Science,,
,Class 500,Class 500,Class 500,549 Mineralogy,554 Science,,
,Class 500,Class 500,Class 500,550 Earth sciences & geology,555 Science,,
,Class 500,Class 500,Class 500,550 Earth sciences,556 Science,,
,Class 500,Class 500,Class 500,"551 Geology, hydrology, meteorology",557 Science,,
,Class 500,Class 500,Class 500,552 Petrology,558 Science,,
,Class 500,Class 500,Class 500,553 Economic geology,559 Science,,
,Class 500,Class 500,Class 500,554 Earth sciences of Europe,560 Science,,
,Class 500,Class 500,Class 500,555 Earth sciences of Asia,561 Science,,
,Class 500,Class 500,Class 500,556 Earth sciences of Africa,562 Science,,
,Class 500,Class 500,Class 500,557 Earth sciences of North America,563 Science,,
,Class 500,Class 500,Class 500,558 Earth sciences of South America,564 Science,,
,Class 500,Class 500,Class 500,"559 Earth sciences of Australasia, Pacific Ocean islands, Atlantic Ocean islands, Arctic islands, Antarctica, extraterrestrial worlds",565 Science,,
,Class 500,Class 500,Class 500,560 Fossils & prehistoric life,566 Science,,
,Class 500,Class 500,Class 500,560 Paleontology,567 Science,,
,Class 500,Class 500,Class 500,561 Paleobotany; fossil microorganisms,568 Science,,
,Class 500,Class 500,Class 500,562 Fossil invertebrates,569 Science,,
,Class 500,Class 500,Class 500,563 Miscellaneous fossil marine & seashore invertebrates,570 Science,,
,Class 500,Class 500,Class 500,564 Fossil Mollusca & Molluscoidea,571 Science,,
,Class 500,Class 500,Class 500,565 Fossil Arthropoda,572 Science,,
,Class 500,Class 500,Class 500,566 Fossil Chordata,573 Science,,
,Class 500,Class 500,Class 500,567 Fossil cold-blooded vertebrates,574 Science,,
,Class 500,Class 500,Class 500,568 Fossil Aves (birds),575 Science,,
,Class 500,Class 500,Class 500,569 Fossil Mammalia,576 Science,,
,Class 500,Class 500,Class 500,570 Biology,577 Science,,
,Class 500,Class 500,Class 500,570 Biology,578 Science,,
,Class 500,Class 500,Class 500,571 Physiology & related subjects,579 Science,,
,Class 500,Class 500,Class 500,572 Biochemistry,580 Science,,
,Class 500,Class 500,Class 500,"573 Specific physiological systems in animals, regional histology & physiology in animals",581 Science,,
,Class 500,Class 500,Class 500,574 Not assigned or no longer used,582 Science,,
,Class 500,Class 500,Class 500,575 Specific parts of & physiological systems in plants,583 Science,,
,Class 500,Class 500,Class 500,576 Genetics and evolution,584 Science,,
,Class 500,Class 500,Class 500,577 Ecology,585 Science,,
,Class 500,Class 500,Class 500,578 Natural history of organisms & related subjects,586 Science,,
,Class 500,Class 500,Class 500,"579 Natural history of microorganisms, fungi, algae",587 Science,,
,Class 500,Class 500,Class 500,580 Plants,588 Science,,
,Class 500,Class 500,Class 500,580 Plants,589 Science,,
,Class 500,Class 500,Class 500,581 Specific topics in natural history of plants,590 Science,,
,Class 500,Class 500,Class 500,582 Plants noted for specific vegetative characteristics and flowers,591 Science,,
,Class 500,Class 500,Class 500,583 Magnoliopsida (Dicotyledones),592 Science,,
,Class 500,Class 500,Class 500,584 Liliopsida (Monocotyledones),593 Science,,
,Class 500,Class 500,Class 500,585 Pinophyta (Gymnosperms),594 Science,,
,Class 500,Class 500,Class 500,586 Cryptogamia (Seedless plants),595 Science,,
,Class 500,Class 500,Class 500,587 Pteridophyta,596 Science,,
,Class 500,Class 500,Class 500,588 Bryophyta,597 Science,,
,Class 500,Class 500,Class 500,589 No longer used—formerly Forestry,598 Science,,
,Class 500,Class 500,Class 500,590 Animals (Zoology),599 Science,,
,Class 500,Class 500,Class 500,590 Animals,600 Science,,
,Class 500,Class 500,Class 500,591 Specific topics in natural history of animals,601 Science,,
,Class 500,Class 500,Class 500,592 Invertebrates,602 Science,,
,Class 500,Class 500,Class 500,593 Miscellaneous marine & seashore invertebrates,603 Science,,
,Class 500,Class 500,Class 500,594 Mollusca & Molluscoidea,604 Science,,
,Class 500,Class 500,Class 500,595 Arthropoda,605 Science,,
,Class 500,Class 500,Class 500,596 Chordata,606 Science,,
,Class 500,Class 500,Class 500,597 Cold-blooded vertebrates,607 Science,,
,Class 500,Class 500,Class 500,598 Aves (Birds),608 Science,,
,Class 500,Class 500,Class 500,599 Mammalia (Mammals),609 Science,,
,Class 600,Class 600,Class 600,Class 600 – Technology,610 Science,,
,Class 600,Class 600,Class 600,600 Technology,600 Technology,,
,Class 600,Class 600,Class 600,600 Technology (Applied sciences),601 Technology,,
,Class 600,Class 600,Class 600,601 Philosophy & theory,602 Technology,,
,Class 600,Class 600,Class 600,602 Miscellany,603 Technology,,
,Class 600,Class 600,Class 600,"603 Dictionaries, encyclopedias, concordances",604 Technology,,
,Class 600,Class 600,Class 600,"604 Technical drawing, hazardous materials technology; groups of people",605 Technology,,
,Class 600,Class 600,Class 600,605 Serial publications,606 Technology,,
,Class 600,Class 600,Class 600,606 Organizations,607 Technology,,
,Class 600,Class 600,Class 600,"607 Education, research, related topics",608 Technology,,
,Class 600,Class 600,Class 600,608 Patents,609 Technology,,
,Class 600,Class 600,Class 600,"609 History, geographic treatment, biography",610 Technology,,
,Class 600,Class 600,Class 600,610 Medicine & health,611 Technology,,
,Class 600,Class 600,Class 600,610 Medicine & health,612 Technology,,
,Class 600,Class 600,Class 600,610.3 Medical encyclopedias,613 Technology,,
,Class 600,Class 600,Class 600,610.6 Medical organizations & professions,614 Technology,,
,Class 600,Class 600,Class 600,610.72 Medical research,615 Technology,,
,Class 600,Class 600,Class 600,610.9 Geography and history of medicine,616 Technology,,
,Class 600,Class 600,Class 600,"611 Human anatomy, cytology, histology",617 Technology,,
,Class 600,Class 600,Class 600,"611.2 Respiratory (lung, respiratory system)",618 Technology,,
,Class 600,Class 600,Class 600,611.3 Gastrointestinal (dental anatomy),619 Technology,,
,Class 600,Class 600,Class 600,611.6 Genitourinary (genital system),620 Technology,,
,Class 600,Class 600,Class 600,611.7 Musculoskeletal (seed coat),621 Technology,,
,Class 600,Class 600,Class 600,611.8 Anatomy of the sense organs and nervous system,622 Technology,,
,Class 600,Class 600,Class 600,611.82 Anatomy of the brain,623 Technology,,
,Class 600,Class 600,Class 600,611.9 Topographic anatomy (back),624 Technology,,
,Class 600,Class 600,Class 600,612 Human physiology,625 Technology,,
,Class 600,Class 600,Class 600,613 Personal health & safety,626 Technology,,
,Class 600,Class 600,Class 600,613.023 Professions hygiene and health,627 Technology,,
,Class 600,Class 600,Class 600,613.1 Role of the natural environment,628 Technology,,
,Class 600,Class 600,Class 600,"613.2 Diet (food hygiene, nutrition, diet, nutritional value of food and beverages)",629 Technology,,
,Class 600,Class 600,Class 600,"613.4 Cleanliness Care (hygiene and personal cleanliness, personal care)",630 Technology,,
,Class 600,Class 600,Class 600,"613.5 Role of unnatural environment (housing, housing, temperature)",631 Technology,,
,Class 600,Class 600,Class 600,613.62 Hygiene in the business (industrial hygiene),633 Technology,,
,Class 600,Class 600,Class 600,613.66 Self Defense,634 Technology,,
,Class 600,Class 600,Class 600,"613.7 Condition physique (bodybuilding, fitness, forme physique)[4]",635 Technology,,
,Class 600,Class 600,Class 600,"613.7046 Hatha yoga, yoga physique[5]",636 Technology,,
,Class 600,Class 600,Class 600,"613.71 Exercising, sports (aerobics, sauna, appearance surveillance and physical form)[6]",637 Technology,,
,Class 600,Class 600,Class 600,"613.79 Relaxation, sleep[7]",638 Technology,,
,Class 600,Class 600,Class 600,"614 Forensic medicine; incidence of injuries, wounds, disease; public preventive medicine",639 Technology,,
,Class 600,Class 600,Class 600,615 Pharmacology and therapeutics,640 Technology,,
,Class 600,Class 600,Class 600,616 Diseases,641 Technology,,
,Class 600,Class 600,Class 600,"617 Surgery, regional medicine, dentistry, ophthalmology, otology, audiology",642 Technology,,
,Class 600,Class 600,Class 600,"618 Gynecology, obstetrics, pediatrics, geriatrics",643 Technology,,
,Class 600,Class 600,Class 600,619 No longer used—formerly Experimental medicine,644 Technology,,
,Class 600,Class 600,Class 600,620 Engineering,645 Technology,,
,Class 600,Class 600,Class 600,620 Engineering & Applied operations,646 Technology,,
,Class 600,Class 600,Class 600,621 Applied physics,647 Technology,,
,Class 600,Class 600,Class 600,622 Mining & related operations,648 Technology,,
,Class 600,Class 600,Class 600,623 Military & nautical engineering,649 Technology,,
,Class 600,Class 600,Class 600,624 Civil engineering,650 Technology,,
,Class 600,Class 600,Class 600,"625 Engineering of railroads, roads",651 Technology,,
,Class 600,Class 600,Class 600,626 Not assigned or no longer used,652 Technology,,
,Class 600,Class 600,Class 600,627 Hydraulic engineering,653 Technology,,
,Class 600,Class 600,Class 600,628 Sanitary engineering,654 Technology,,
,Class 600,Class 600,Class 600,629 Other branches of engineering,655 Technology,,
,Class 600,Class 600,Class 600,630 Agriculture,656 Technology,,
,Class 600,Class 600,Class 600,630 Agriculture & related technologies,657 Technology,,
,Class 600,Class 600,Class 600,"631 Specific techniques; apparatus, equipment, materials",658 Technology,,
,Class 600,Class 600,Class 600,"632 Plant injuries, diseases, pests",659 Technology,,
,Class 600,Class 600,Class 600,633 Field & plantation crops,660 Technology,,
,Class 600,Class 600,Class 600,"634 Orchards, fruits, forestry",661 Technology,,
,Class 600,Class 600,Class 600,635 Garden crops (Horticulture),662 Technology,,
,Class 600,Class 600,Class 600,636 Animal husbandry,663 Technology,,
,Class 600,Class 600,Class 600,637 Processing dairy & related products,664 Technology,,
,Class 600,Class 600,Class 600,638 Insect culture,665 Technology,,
,Class 600,Class 600,Class 600,"639 Hunting, fishing, conservation, related technologies",666 Technology,,
,Class 600,Class 600,Class 600,640 Home & family management,667 Technology,,
,Class 600,Class 600,Class 600,640 Home & family management,668 Technology,,
,Class 600,Class 600,Class 600,641 Food & drink,669 Technology,,
,Class 600,Class 600,Class 600,642 Meals & table service,670 Technology,,
,Class 600,Class 600,Class 600,643 Housing & household equipment,671 Technology,,
,Class 600,Class 600,Class 600,644 Household utilities,672 Technology,,
,Class 600,Class 600,Class 600,645 Household furnishings,673 Technology,,
,Class 600,Class 600,Class 600,"646 Sewing, clothing, management of personal and family life",674 Technology,,
,Class 600,Class 600,Class 600,647 Management of public households (Institutional housekeeping),675 Technology,,
,Class 600,Class 600,Class 600,648 Housekeeping,676 Technology,,
,Class 600,Class 600,Class 600,649 Child rearing; home care of people with disabilities & illnesses,677 Technology,,
,Class 600,Class 600,Class 600,650 Management & public relations,678 Technology,,
,Class 600,Class 600,Class 600,650 Management & auxiliary services,679 Technology,,
,Class 600,Class 600,Class 600,651 Office services,680 Technology,,
,Class 600,Class 600,Class 600,652 Processes of written communication,681 Technology,,
,Class 600,Class 600,Class 600,653 Shorthand,682 Technology,,
,Class 600,Class 600,Class 600,654–656 Not assigned or no longer used,683 Technology,,
,Class 600,Class 600,Class 600,657 Accounting,684 Technology,,
,Class 600,Class 600,Class 600,658 General management,685 Technology,,
,Class 600,Class 600,Class 600,659 Advertising & public relations,686 Technology,,
,Class 600,Class 600,Class 600,660 Chemical engineering,687 Technology,,
,Class 600,Class 600,Class 600,660 Chemical engineering & related technologies,688 Technology,,
,Class 600,Class 600,Class 600,661 Technology of industrial chemicals,689 Technology,,
,Class 600,Class 600,Class 600,"662 Technology of explosives, fuels, related products",690 Technology,,
,Class 600,Class 600,Class 600,663 Beverage technology,691 Technology,,
,Class 600,Class 600,Class 600,664 Food technology,692 Technology,,
,Class 600,Class 600,Class 600,"665 Technology of industrial oils, fats, waxes, gases",693 Technology,,
,Class 600,Class 600,Class 600,666 Ceramic & allied technologies,694 Technology,,
,Class 600,Class 600,Class 600,"667 Cleaning, color, coating, related technologies",695 Technology,,
,Class 600,Class 600,Class 600,668 Technology of other organic products,696 Technology,,
,Class 600,Class 600,Class 600,669 Metallurgy,697 Technology,,
,Class 600,Class 600,Class 600,670 Manufacturing,698 Technology,,
,Class 600,Class 600,Class 600,670 Manufacturing,699 Technology,,
,Class 600,Class 600,Class 600,671 Metalworking processes & primary metal products,700 Technology,,
,Class 600,Class 600,Class 600,"672 Iron, steel, other iron alloys",701 Technology,,
,Class 600,Class 600,Class 600,673 Nonferrous metals,702 Technology,,
,Class 600,Class 600,Class 600,"674 Lumber processing, wood products, cork",703 Technology,,
,Class 600,Class 600,Class 600,675 Leather & fur processing,704 Technology,,
,Class 600,Class 600,Class 600,676 Pulp & paper technology,705 Technology,,
,Class 600,Class 600,Class 600,677 Textiles,706 Technology,,
